frame0,frame1,frame2,frame3,framet,t
/media/data/saikat/DAVIS/480p/horsejump-low/00000.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00002.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00004.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00006.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00003.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00002.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00004.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00006.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00008.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00005.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00004.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00006.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00008.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00010.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00007.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00006.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00008.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00010.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00012.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00009.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00008.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00010.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00012.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00014.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00011.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00010.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00012.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00014.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00016.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00013.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00012.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00014.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00016.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00018.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00015.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00014.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00016.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00018.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00020.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00017.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00016.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00018.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00020.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00022.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00019.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00018.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00020.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00022.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00024.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00021.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00020.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00022.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00024.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00026.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00023.jpg,0.5
/media/data/saikat/DAVIS/480p/horsejump-low/00022.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00024.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00026.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00028.jpg,/media/data/saikat/DAVIS/480p/horsejump-low/00025.jpg,0.5
