frame0,frame2,frame4,frame6,frame3,t
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0266/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0266/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0266/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0266/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0266/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0268/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0268/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0268/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0268/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0268/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0275/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0275/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0275/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0275/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0275/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0278/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0278/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0278/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0278/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0278/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0285/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0285/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0285/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0285/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0285/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0287/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0287/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0287/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0287/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0287/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0291/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0291/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0291/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0291/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0291/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0619/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0619/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0619/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0619/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0619/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0622/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0622/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0622/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0622/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0622/im4.png,0.5
/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0625/im1.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0625/im3.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0625/im5.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0625/im7.png,/media/data/saikat/vimeo/vimeo_septuplet/sequences/00001/0625/im4.png,0.5
